timer,roll,pitch,yaw,accel_x,accel_y,accel_z,posx,posy,posz
  0.00045, 0.08779, 0.08969, 3.01642, -0.14552, -0.13972, -0.41512, -0.00000, -0.00000, -0.00000
  0.05342, 0.08798, 0.08931, 3.01445, -0.14894, -0.14265, -0.42261, -0.00001, -0.00001, -0.00003
  0.05453, 0.08817, 0.08892, 3.01230, -0.15225, -0.14794, -0.44543, -0.00002, -0.00002, -0.00006
  0.05562, 0.08835, 0.08854, 3.01006, -0.14844, -0.14607, -0.45803, -0.00003, -0.00003, -0.00009
  0.05670, 0.08852, 0.08818, 3.00779, -0.14001, -0.13719, -0.46808, -0.00005, -0.00004, -0.00013
  0.05780, 0.08867, 0.08784, 3.00552, -0.12704, -0.13083, -0.47047, -0.00006, -0.00006, -0.00016
  0.05887, 0.08882, 0.08751, 3.00325, -0.12139, -0.12692, -0.46010, -0.00007, -0.00007, -0.00020
  0.05996, 0.08895, 0.08719, 3.00096, -0.12057, -0.11836, -0.45994, -0.00008, -0.00008, -0.00024
  0.06104, 0.08907, 0.08687, 2.99867, -0.11507, -0.11232, -0.46233, -0.00010, -0.00009, -0.00028
  0.06213, 0.08920, 0.08657, 2.99638, -0.11204, -0.11346, -0.45451, -0.00011, -0.00011, -0.00032
  0.06321, 0.08933, 0.08628, 2.99409, -0.10672, -0.11691, -0.44416, -0.00013, -0.00012, -0.00036
  0.06428, 0.08948, 0.08599, 2.99182, -0.10387, -0.12029, -0.43637, -0.00014, -0.00014, -0.00040
  0.06535, 0.08962, 0.08572, 2.98958, -0.09875, -0.12121, -0.41838, -0.00016, -0.00015, -0.00045
  0.06641, 0.08977, 0.08544, 2.98736, -0.10079, -0.12211, -0.41317, -0.00017, -0.00017, -0.00050
  0.06749, 0.08990, 0.08516, 2.98518, -0.10516, -0.11119, -0.41304, -0.00019, -0.00018, -0.00054
  0.06855, 0.09001, 0.08488, 2.98306, -0.10239, -0.10050, -0.42568, -0.00021, -0.00020, -0.00059
  0.06962, 0.09011, 0.08460, 2.98097, -0.10201, -0.09949, -0.44342, -0.00023, -0.00022, -0.00065
  0.07069, 0.09020, 0.08433, 2.97892, -0.09691, -0.09854, -0.45861, -0.00024, -0.00023, -0.00070
  0.07177, 0.09030, 0.08407, 2.97690, -0.09189, -0.10233, -0.46870, -0.00026, -0.00025, -0.00075
  0.07283, 0.09041, 0.08382, 2.97491, -0.08461, -0.10842, -0.47115, -0.00028, -0.00027, -0.00081
  0.07390, 0.09052, 0.08358, 2.97296, -0.07747, -0.10731, -0.47361, -0.00030, -0.00029, -0.00087
  0.07497, 0.09063, 0.08335, 2.97104, -0.07751, -0.10622, -0.47862, -0.00031, -0.00030, -0.00090
  0.07604, 0.09074, 0.08312, 2.96916, -0.07285, -0.10515, -0.48364, -0.00032, -0.00031, -0.00093
  0.07712, 0.09085, 0.08290, 2.96732, -0.06829, -0.10645, -0.48100, -0.00033, -0.00032, -0.00096
  0.07818, 0.09096, 0.08269, 2.96550, -0.06381, -0.10535, -0.48349, -0.00034, -0.00033, -0.00099
  0.07926, 0.09107, 0.08250, 2.96372, -0.05708, -0.10663, -0.48343, -0.00035, -0.00034, -0.00102
  0.08033, 0.09119, 0.08231, 2.96197, -0.05521, -0.10785, -0.46805, -0.00036, -0.00035, -0.00105
  0.08140, 0.09130, 0.08213, 2.96026, -0.05340, -0.10431, -0.45778, -0.00038, -0.00036, -0.00109
  0.08244, 0.09141, 0.08195, 2.95858, -0.05164, -0.10320, -0.45518, -0.00039, -0.00037, -0.00112
  0.08349, 0.09151, 0.08177, 2.95693, -0.05465, -0.09735, -0.43724, -0.00040, -0.00038, -0.00115
  0.08452, 0.09161, 0.08160, 2.95533, -0.05056, -0.09159, -0.42952, -0.00041, -0.00039, -0.00119
  0.08556, 0.09170, 0.08143, 2.95375, -0.05124, -0.09066, -0.43202, -0.00042, -0.00040, -0.00122
  0.08659, 0.09179, 0.08124, 2.95221, -0.05896, -0.09212, -0.43451, -0.00043, -0.00041, -0.00125
  0.08762, 0.09188, 0.08105, 2.95071, -0.06183, -0.08882, -0.42933, -0.00044, -0.00043, -0.00129
  0.08865, 0.09198, 0.08087, 2.94922, -0.05997, -0.09027, -0.41393, -0.00045, -0.00044, -0.00133
  0.08968, 0.09208, 0.08069, 2.94776, -0.05579, -0.09405, -0.41133, -0.00046, -0.00045, -0.00136
  0.09071, 0.09219, 0.08052, 2.94633, -0.05169, -0.09774, -0.40618, -0.00047, -0.00046, -0.00140
  0.09184, 0.09232, 0.08034, 2.94492, -0.05237, -0.10605, -0.39594, -0.00049, -0.00047, -0.00144
  0.09292, 0.09245, 0.08017, 2.94356, -0.05305, -0.10239, -0.39336, -0.00050, -0.00048, -0.00147
  0.09400, 0.09256, 0.07999, 2.94224, -0.05606, -0.09646, -0.40099, -0.00051, -0.00049, -0.00151
  0.09507, 0.09266, 0.07982, 2.94096, -0.05196, -0.09066, -0.40350, -0.00052, -0.00051, -0.00155
  0.09613, 0.09276, 0.07966, 2.93971, -0.04794, -0.09441, -0.40602, -0.00053, -0.00052, -0.00159
  0.09720, 0.09288, 0.07949, 2.93848, -0.04869, -0.10045, -0.41111, -0.00054, -0.00053, -0.00163
  0.09827, 0.09298, 0.07933, 2.93728, -0.04707, -0.09459, -0.41875, -0.00055, -0.00054, -0.00167
  0.09934, 0.09309, 0.07917, 2.93611, -0.04549, -0.09355, -0.41361, -0.00057, -0.00055, -0.00171
  0.10041, 0.09319, 0.07901, 2.93497, -0.04865, -0.09252, -0.40080, -0.00058, -0.00057, -0.00175
  0.10149, 0.09328, 0.07883, 2.93386, -0.05411, -0.08442, -0.40330, -0.00059, -0.00058, -0.00179
  0.10256, 0.09335, 0.07866, 2.93279, -0.05474, -0.07650, -0.41600, -0.00060, -0.00059, -0.00184
  0.10363, 0.09341, 0.07848, 2.93174, -0.05301, -0.07583, -0.43126, -0.00061, -0.00060, -0.00188
  0.10471, 0.09349, 0.07832, 2.93071, -0.04659, -0.07992, -0.44142, -0.00063, -0.00062, -0.00192
  0.10577, 0.09356, 0.07818, 2.92970, -0.03794, -0.08158, -0.44648, -0.00064, -0.00063, -0.00196
  0.10684, 0.09362, 0.07805, 2.92871, -0.02710, -0.07377, -0.45666, -0.00065, -0.00064, -0.00201
  0.10792, 0.09366, 0.07794, 2.92775, -0.01881, -0.06849, -0.46940, -0.00066, -0.00066, -0.00205
  0.10898, 0.09371, 0.07782, 2.92681, -0.02244, -0.07039, -0.47191, -0.00068, -0.00067, -0.00210
  0.11005, 0.09378, 0.07770, 2.92588, -0.02365, -0.07695, -0.46166, -0.00069, -0.00068, -0.00215
  0.11112, 0.09384, 0.07759, 2.92496, -0.02015, -0.07394, -0.45141, -0.00070, -0.00070, -0.00219
  0.11220, 0.09389, 0.07750, 2.92407, -0.01439, -0.06625, -0.44626, -0.00071, -0.00071, -0.00224
  0.11327, 0.09392, 0.07739, 2.92321, -0.01578, -0.06108, -0.45389, -0.00073, -0.00072, -0.00229
  0.11434, 0.09395, 0.07730, 2.92237, -0.01243, -0.05600, -0.45895, -0.00074, -0.00074, -0.00233
  0.11541, 0.09397, 0.07720, 2.92155, -0.01621, -0.05336, -0.45889, -0.00075, -0.00075, -0.00238
  0.11649, 0.09401, 0.07709, 2.92074, -0.01993, -0.06020, -0.44606, -0.00076, -0.00076, -0.00243
  0.11756, 0.09407, 0.07697, 2.91993, -0.02358, -0.06925, -0.43581, -0.00078, -0.00078, -0.00248
  0.11863, 0.09414, 0.07685, 2.91913, -0.02715, -0.07576, -0.43578, -0.00079, -0.00079, -0.00253
  0.11970, 0.09421, 0.07673, 2.91835, -0.02594, -0.07744, -0.44087, -0.00080, -0.00081, -0.00258
  0.12077, 0.09430, 0.07661, 2.91757, -0.02711, -0.08853, -0.44086, -0.00081, -0.00082, -0.00263
  0.12185, 0.09443, 0.07649, 2.91679, -0.02592, -0.10413, -0.43578, -0.00083, -0.00084, -0.00268
  0.12292, 0.09457, 0.07635, 2.91601, -0.03416, -0.11233, -0.42559, -0.00084, -0.00085, -0.00274
  0.12399, 0.09471, 0.07623, 2.91527, -0.03049, -0.11329, -0.42307, -0.00085, -0.00086, -0.00279
